frame_id, p_x0, p_y0, p_c0, p_x1, p_y1, p_c1, p_x2, p_y2, p_c2, p_x3, p_y3, p_c3, p_x4, p_y4, p_c4, p_x5, p_y5, p_c5, p_x6, p_y6, p_c6, p_x7, p_y7, p_c7, p_x8, p_y8, p_c8, p_x9, p_y9, p_c9, p_x10, p_y10, p_c10, p_x11, p_y11, p_c11, p_x12, p_y12, p_c12, p_x13, p_y13, p_c13, p_x14, p_y14, p_c14, p_x15, p_y15, p_c15, p_x16, p_y16, p_c16, p_x17, p_y17, p_c17, p_x18, p_y18, p_c18, p_x19, p_y19, p_c19, p_x20, p_y20, p_c20, p_x21, p_y21, p_c21, p_x22, p_y22, p_c22, p_x23, p_y23, p_c23, p_x24, p_y24, p_c24
10,231.816,303.38,0.990902,227.458,374.435,0.972204,183.067,374.267,0.917075,156.275,445.782,0.972219,116.332,512.35,0.974648,267.575,374.607,0.963273,285.389,454.609,0.837327,303.29,521.331,0.927141,227.363,525.924,0.840374,191.895,525.888,0.844133,191.894,654.724,0.897098,187.549,766.347,0.872634,258.696,525.928,0.824471,262.875,654.78,0.908312,249.861,770.71,0.830688,223.185,298.896,0.969578,236.442,298.95,0.95043,200.914,307.606,0.869949,258.534,307.729,0.736567,254.172,801.92,0.745139,267.666,801.758,0.798573,236.45,783.983,0.773217,191.73,801.816,0.706341,165.188,797.537,0.72804,191.954,775.194,0.742324
11,231.82,303.352,0.989543,227.467,374.463,0.971555,187.299,374.287,0.925934,156.363,445.792,0.970678,125.031,512.457,0.998844,267.597,374.639,0.955136,276.629,454.648,0.838702,298.802,517.177,0.948269,227.335,530.304,0.83012,191.87,530.235,0.83243,191.868,654.738,0.893407,187.555,766.379,0.874759,258.644,530.308,0.812861,262.898,654.795,0.906825,249.825,770.686,0.827544,223.176,298.876,0.967485,236.447,298.912,0.949056,200.898,307.6,0.876083,258.55,307.682,0.747587,249.841,801.892,0.748646,267.607,801.743,0.801382,236.418,783.973,0.759495,191.751,801.823,0.707976,165.192,801.597,0.729037,191.963,779.524,0.747633
12,231.812,303.312,0.987442,227.457,374.469,0.970189,183.098,374.285,0.925589,156.396,445.614,0.978739,129.626,512.202,0.953049,267.592,374.646,0.951557,280.99,454.633,0.842654,298.602,517.161,0.957249,223.177,525.898,0.833082,191.838,525.822,0.836388,191.838,650.522,0.886558,187.535,766.281,0.877744,254.322,525.937,0.813159,258.665,654.676,0.881166,249.794,770.643,0.835799,223.167,298.845,0.962792,236.44,298.879,0.94536,200.894,307.594,0.878405,258.542,307.66,0.751177,249.791,801.875,0.746868,267.592,801.756,0.796699,236.425,783.997,0.767857,191.795,801.723,0.723281,165.247,797.457,0.730053,191.936,775.149,0.749972
13,227.757,303.253,0.984378,227.454,374.447,0.973121,183.08,374.288,0.926206,156.232,441.417,0.956932,129.707,508.031,0.935488,267.599,374.587,0.964819,285.408,445.812,0.867275,294.39,512.518,0.939018,223.142,525.796,0.840012,191.765,521.545,0.836679,191.77,650.383,0.867652,187.44,766.224,0.86178,254.316,525.826,0.821169,258.675,650.315,0.860201,249.785,766.436,0.832549,223.118,298.8,0.955323,236.39,298.82,0.945445,200.875,303.484,0.886398,254.317,307.595,0.773564,249.828,801.817,0.736198,267.624,801.686,0.78007,236.374,779.622,0.756539,191.759,801.688,0.707405,165.177,797.414,0.718876,191.863,775.063,0.731885
14,227.759,303.213,0.987466,227.469,374.37,0.975454,183.101,374.253,0.928917,156.101,441.242,0.934121,129.746,490.257,0.872036,267.611,374.492,0.974292,289.866,445.567,0.891569,298.513,503.608,0.874938,223.142,525.8,0.844311,191.755,525.755,0.846288,191.772,650.441,0.883696,187.448,766.182,0.874548,254.326,525.819,0.819899,258.642,650.377,0.865266,249.862,766.396,0.841216,223.11,298.778,0.954258,236.392,298.777,0.940866,200.878,303.473,0.888338,254.33,303.46,0.761989,249.833,801.788,0.737562,267.633,801.657,0.780142,236.453,779.558,0.766213,191.73,801.635,0.731847,165.157,797.364,0.749309,191.875,770.811,0.757925
15,227.706,303.25,0.988624,227.466,374.423,0.975473,187.324,374.264,0.933513,156.262,436.872,0.921532,129.545,476.896,0.942782,267.624,374.594,0.96259,294.283,441.339,0.875062,298.747,481.515,0.899698,223.136,525.826,0.835034,191.795,525.799,0.843861,191.85,650.396,0.877701,187.502,766.152,0.87039,254.287,525.88,0.808373,258.573,650.406,0.860831,249.848,766.408,0.840065,223.059,298.798,0.953351,232.238,298.813,0.953358,200.845,303.474,0.881171,254.268,303.464,0.787303,254.154,801.822,0.744232,267.665,801.673,0.789241,236.448,779.577,0.760854,191.812,797.513,0.7293,165.221,797.328,0.736069,191.888,770.77,0.745815
16,227.693,303.309,0.987187,227.483,374.449,0.974039,187.368,370.22,0.938868,156.054,436.621,0.877268,125.175,459.073,0.872255,267.677,374.688,0.952211,298.81,441.185,0.887211,303.156,472.445,0.848364,223.161,525.892,0.827198,191.793,525.835,0.839858,191.81,650.433,0.872915,187.501,766.222,0.863294,258.558,525.937,0.801374,258.724,654.681,0.879066,249.877,766.464,0.837375,223.052,298.837,0.955856,232.229,298.866,0.959555,200.837,303.455,0.877204,254.232,307.605,0.781085,254.22,801.888,0.752566,267.699,801.723,0.799682,236.456,779.599,0.770394,191.822,801.669,0.72639,165.237,797.405,0.729733,191.901,770.839,0.730696
17,227.694,303.363,0.985642,227.475,374.429,0.967627,187.396,370.188,0.939389,151.928,418.996,0.858482,120.85,441.221,0.913974,267.643,374.669,0.957141,303.289,445.549,0.909192,289.825,445.603,0.651742,223.143,525.862,0.824827,191.817,525.807,0.840534,191.907,650.484,0.877576,191.712,766.167,0.873203,254.328,525.928,0.791643,258.679,650.563,0.870329,249.852,766.461,0.835019,223.056,298.868,0.955226,232.242,298.934,0.958205,200.832,303.448,0.866948,254.244,307.703,0.764732,249.801,801.836,0.753767,267.609,801.699,0.80613,236.438,779.587,0.7535,191.848,797.542,0.709132,165.311,797.345,0.714594,192.004,770.78,0.73816
18,227.68,303.4,0.981143,227.422,374.381,0.960236,187.331,374.264,0.931453,142.89,423.434,0.80683,116.319,436.672,0.820255,267.524,374.564,0.966016,303.417,441.017,0.824914,303.223,409.996,0.853851,223.082,521.46,0.837562,191.775,521.418,0.848994,191.927,650.429,0.869606,191.676,766.21,0.867946,254.195,521.532,0.802812,258.734,650.485,0.865997,249.884,766.46,0.830522,223.041,298.889,0.953414,232.23,298.984,0.95785,200.799,303.487,0.861692,254.223,307.81,0.74879,249.751,801.87,0.732221,267.589,801.743,0.789382,236.45,779.585,0.750112,191.781,801.683,0.692435,165.248,797.397,0.7037,191.974,770.839,0.732902
19,227.719,303.399,0.982033,227.444,374.52,0.960266,183.063,374.339,0.932468,125.331,432.302,0.867221,93.9299,410.008,0.833145,267.649,378.892,0.923192,307.813,432.232,0.804388,312.106,396.621,0.803929,223.046,525.828,0.821251,191.699,521.541,0.82394,191.927,654.708,0.874219,191.679,766.299,0.868183,254.254,525.906,0.794513,258.643,654.688,0.865683,249.812,770.674,0.822523,223.064,298.891,0.958048,236.365,298.981,0.950227,200.794,307.618,0.859761,254.338,307.817,0.724869,245.442,801.861,0.750268,267.558,801.736,0.805612,236.422,784.003,0.744635,191.739,801.754,0.694162,165.236,797.477,0.712193,191.991,775.171,0.730079
